Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Disenchantment: Part 2: The Very Thing,2019-11-17,2019,November,17,Sunday,Disenchantment, Part 2, The Very Thing,TV Show
Disenchantment: Part 2: Stairway to Hell,2019-11-17,2019,November,17,Sunday,Disenchantment, Part 2, Stairway to Hell,TV Show
"Unnatural Selection: Limited Series: Cut, Paste, Life",2019-11-17,2019,November,17,Sunday,Unnatural Selection, Limited Series," Cut, Paste, Life",TV Show
Inside Bill's Brain: Decoding Bill Gates: Limited Series: Part 3,2019-11-16,2019,November,16,Saturday,Inside Bill's Brain, Decoding Bill Gates, Limited Series: Part 3,TV Show
Inside Bill's Brain: Decoding Bill Gates: Limited Series: Part 2,2019-11-16,2019,November,16,Saturday,Inside Bill's Brain, Decoding Bill Gates, Limited Series: Part 2,TV Show
Inside Bill's Brain: Decoding Bill Gates: Limited Series: Part 1,2019-11-16,2019,November,16,Saturday,Inside Bill's Brain, Decoding Bill Gates, Limited Series: Part 1,TV Show
Explained: Season 2: Coding,2019-11-16,2019,November,16,Saturday,Explained, Season 2, Coding,TV Show
Explained: Season 2: Pirates,2019-11-16,2019,November,16,Saturday,Explained, Season 2, Pirates,TV Show
Patriot Act with Hasan Minhaj: Volume 4: The Real Cost of Cruises,2019-11-15,2019,November,15,Friday,Patriot Act with Hasan Minhaj, Volume 4, The Real Cost of Cruises,TV Show
Patriot Act with Hasan Minhaj: Volume 4: Fentanyl,2019-11-15,2019,November,15,Friday,Patriot Act with Hasan Minhaj, Volume 4, Fentanyl,TV Show
Patriot Act with Hasan Minhaj: Volume 5: Mental Health,2019-11-15,2019,November,15,Friday,Patriot Act with Hasan Minhaj, Volume 5, Mental Health,TV Show
Nikki Glaser: Bangin’,2019-11-14,2019,November,14,Thursday,Nikki Glaser, Bangin’,,TV Show
Explained: Season 2: The Future of Meat,2019-11-14,2019,November,14,Thursday,Explained, Season 2, The Future of Meat,TV Show
Sacred Games: Season 2: Radcliffe,2019-11-11,2019,November,11,Monday,Sacred Games, Season 2, Radcliffe,TV Show
Sacred Games: Season 2: Torino,2019-11-11,2019,November,11,Monday,Sacred Games, Season 2, Torino,TV Show
Sacred Games: Season 2: Azrael,2019-11-11,2019,November,11,Monday,Sacred Games, Season 2, Azrael,TV Show
