Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Erin Brockovich,2019-11-16,2019,November,16,Saturday,Erin Brockovich,,,Movie
Queer Eye: We're in Japan!: Season 1: Crazy in Love,2019-11-15,2019,November,15,Friday,Queer Eye, We're in Japan!, Season 1: Crazy in Love,TV Show
Queer Eye: We're in Japan!: Season 1: Japanese Holiday,2019-11-15,2019,November,15,Friday,Queer Eye, We're in Japan!, Season 1: Japanese Holiday,TV Show
Rotten: Season 2: The Avocado War,2019-11-12,2019,November,12,Tuesday,Rotten, Season 2, The Avocado War,TV Show
Midnight Diner: Tokyo Stories: Season 1: Tan Men,2019-11-12,2019,November,12,Tuesday,Midnight Diner, Tokyo Stories, Season 1: Tan Men,TV Show
Seth Meyers: Lobby Baby,2019-11-10,2019,November,10,Sunday,Seth Meyers, Lobby Baby,,TV Show
Wild Wild Country: Season 1: Part 6,2019-11-08,2019,November,8,Friday,Wild Wild Country, Season 1, Part 6,TV Show
The Office (U.S.): Season 1: Pilot,2019-11-08,2019,November,8,Friday,The Office (U.S.), Season 1, Pilot,TV Show
Wild Wild Country: Season 1: Part 3,2019-11-07,2019,November,7,Thursday,Wild Wild Country, Season 1, Part 3,TV Show
Our Planet - Behind The Scenes,2019-11-06,2019,November,6,Wednesday,Our Planet - Behind The Scenes,,,Movie
Our Planet: Season 1: Forests,2019-11-06,2019,November,6,Wednesday,Our Planet, Season 1, Forests,TV Show
Our Planet: Season 1: Fresh Water,2019-11-06,2019,November,6,Wednesday,Our Planet, Season 1, Fresh Water,TV Show
Planet Earth II: Cities,2019-11-05,2019,November,5,Tuesday,Planet Earth II, Cities,,TV Show
Planet Earth II: Grasslands,2019-11-05,2019,November,5,Tuesday,Planet Earth II, Grasslands,,TV Show
Wild Wild Country: Season 1: Part 5,2019-11-05,2019,November,5,Tuesday,Wild Wild Country, Season 1, Part 5,TV Show
Planet Earth II: Deserts,2019-11-03,2019,November,3,Sunday,Planet Earth II, Deserts,,TV Show
Planet Earth II: Mountains,2019-11-03,2019,November,3,Sunday,Planet Earth II, Mountains,,TV Show
Wild Wild Country: Season 1: Part 4,2019-11-03,2019,November,3,Sunday,Wild Wild Country, Season 1, Part 4,TV Show
Drive,2019-11-03,2019,November,3,Sunday,Drive,,,Movie
Friends: Season 7: The One with Phoebe's Cookies,2019-11-02,2019,November,2,Saturday,Friends, Season 7, The One with Phoebe's Cookies,TV Show
Friends: Season 7: The One with Rachel's Book,2019-11-02,2019,November,2,Saturday,Friends, Season 7, The One with Rachel's Book,TV Show
Friends: Season 7: The One with Monica's Thunder,2019-11-02,2019,November,2,Saturday,Friends, Season 7, The One with Monica's Thunder,TV Show
"Breakfast, Lunch & Dinner: Season 1: Marrakesh with Chrissy Teigen",2019-11-02,2019,November,2,Saturday,"Breakfast, Lunch & Dinner", Season 1, Marrakesh with Chrissy Teigen,TV Show
Wild Wild Country: Season 1: Part 2,2019-11-02,2019,November,2,Saturday,Wild Wild Country, Season 1, Part 2,TV Show
Wild Wild Country: Season 1: Part 1,2019-11-02,2019,November,2,Saturday,Wild Wild Country, Season 1, Part 1,TV Show
Patriot Act with Hasan Minhaj: Volume 4: The Broken Policing System,2019-11-02,2019,November,2,Saturday,Patriot Act with Hasan Minhaj, Volume 4, The Broken Policing System,TV Show
The Game Changers,2019-11-02,2019,November,2,Saturday,The Game Changers,,,Movie
Jenny Slate: Stage Fright,2019-10-30,2019,October,30,Wednesday,Jenny Slate, Stage Fright,,TV Show
The Laundromat,2019-10-30,2019,October,30,Wednesday,The Laundromat,,,Movie
"BoJack Horseman: Season 6: A Quick One, While He's Away",2019-10-30,2019,October,30,Wednesday,BoJack Horseman, Season 6," A Quick One, While He's Away",TV Show
BoJack Horseman: Season 5: Free Churro,2019-10-29,2019,October,29,Tuesday,BoJack Horseman, Season 5, Free Churro,TV Show
My Next Guest Needs No Introduction With David Letterman: Season 2: Bonus: Zach Galifianakis,2019-10-28,2019,October,28,Monday,My Next Guest Needs No Introduction With David Letterman, Season 2, Bonus: Zach Galifianakis,TV Show
My Next Guest with David Letterman and Shah Rukh Khan,2019-10-28,2019,October,28,Monday,My Next Guest with David Letterman and Shah Rukh Khan,,,Movie
"Breakfast, Lunch & Dinner: Season 1: Vancouver with Seth Rogen",2019-10-26,2019,October,26,Saturday,"Breakfast, Lunch & Dinner", Season 1, Vancouver with Seth Rogen,TV Show
Planet Earth II: Islands,2019-10-19,2019,October,19,Saturday,Planet Earth II, Islands,,TV Show
Planet Earth II: Jungles,2019-10-19,2019,October,19,Saturday,Planet Earth II, Jungles,,TV Show
This Is Us: Season 1: Pilot,2019-10-17,2019,October,17,Thursday,This Is Us, Season 1, Pilot,TV Show
Pretty Little Liars: Season 1: Pilot,2019-10-17,2019,October,17,Thursday,Pretty Little Liars, Season 1, Pilot,TV Show
Explained: Season 2: Animal Intelligence,2019-10-17,2019,October,17,Thursday,Explained, Season 2, Animal Intelligence,TV Show
Explained: Season 2: Athleisure,2019-10-17,2019,October,17,Thursday,Explained, Season 2, Athleisure,TV Show
The Good Place: Season 1: Flying,2019-10-15,2019,October,15,Tuesday,The Good Place, Season 1, Flying,TV Show
The Good Place: Season 1: Everything Is Fine,2019-10-15,2019,October,15,Tuesday,The Good Place, Season 1, Everything Is Fine,TV Show
Inside Bill's Brain: Decoding Bill Gates: Limited Series: Part 1,2019-09-28,2019,September,28,Saturday,Inside Bill's Brain, Decoding Bill Gates, Limited Series: Part 1,TV Show
Friends: Season 6: The One with the Proposal: Part 2,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One with the Proposal: Part 2,TV Show
Friends: Season 6: The One with the Proposal: Part 1,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One with the Proposal: Part 1,TV Show
Friends: Season 6: The One with the Ring,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One with the Ring,TV Show
Friends: Season 6: The One Where Paul's the Man,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One Where Paul's the Man,TV Show
Friends: Season 6: The One Where Ross Meets Elizabeth's Dad,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One Where Ross Meets Elizabeth's Dad,TV Show
Friends: Season 6: The One with Mac and C.H.E.E.S.E,2019-09-24,2019,September,24,Tuesday,Friends, Season 6, The One with Mac and C.H.E.E.S.E,TV Show
Friends: Season 6: The One with Joey's Fridge,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One with Joey's Fridge,TV Show
Friends: Season 6: The One Where Ross Dates a Student,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One Where Ross Dates a Student,TV Show
Friends: Season 6: The One with Unagi,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One with Unagi,TV Show
Friends: Season 6: The One That Could Have Been: Part 2,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One That Could Have Been: Part 2,TV Show
Friends: Season 6: The One That Could Have Been: Part 1,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One That Could Have Been: Part 1,TV Show
Friends: Season 6: The One Where Chandler Can't Cry,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One Where Chandler Can't Cry,TV Show
Friends: Season 6: The One with Rachel's Sister,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One with Rachel's Sister,TV Show
Friends: Season 6: The One with the Joke,2019-09-16,2019,September,16,Monday,Friends, Season 6, The One with the Joke,TV Show
Capernaum,2019-09-16,2019,September,16,Monday,Capernaum,,,Movie
"The Mind, Explained: Limited Series: Dreams",2019-09-14,2019,September,14,Saturday,"The Mind, Explained", Limited Series, Dreams,TV Show
"The Mind, Explained: Limited Series: Memory",2019-09-14,2019,September,14,Saturday,"The Mind, Explained", Limited Series, Memory,TV Show
"Hello, Privilege. It's Me, Chelsea",2019-09-14,2019,September,14,Saturday,"Hello, Privilege. It's Me, Chelsea",,,Movie
